;;P1;P1H1;P1H2;P2;P2H1;P2H2;P3;P3H1;P3H2;P4;P4H1;P4H2;P5;P5H1;P5H2;P6;P6H1;P6H2;Flop1;Flop2;Flop3;Turn;River;Dealer
;"4;TD5D6;JC2H1;JD9D;;6DKH5C       0";Maria Ho;JD;9D;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;TD;5D;Ami Alibay ;0;0;James Carroll;JC;2H;6D;KH;5C;  ;  ;0
;"6;8C6S1;8D5D4;KC9H;;4D4C3H      0";Maria Ho;8D;5D;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;KC;9H;Ami Alibay ;0;0;James Carroll;8C;6S;4D;4C;3H;  ;  ;0
;"1;TSTC4;ACQS6;JC9C;;9D8H8CJD2S 0";Maria Ho;TS;TC;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;AC;QS;Ami Alibay ;0;0;James Carroll;JC;9C;9D;8H;8C;JD;2S;0
;"1;TS6S4;ADJC6;7S6C 0";Maria Ho;TS;6S;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;AD;JC;Ami Alibay ;0;0;James Carroll;7S;6C;0;0;0;0;0;0
;"6;QH8H1;TH4D4;KC9C;;AC5CKH2SJD 0";Maria Ho;TH;4D;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;KC;9C;Ami Alibay ;0;0;James Carroll;QH;8H;AC;5C;KH;2S;JD;0
;"1;9H5S4;QC7C6;6C5H;;3DQSQHQD   0";Maria Ho;9H;5S;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;QC;7C;Ami Alibay ;0;0;James Carroll;6C;5H;3D;QS;QH;QD;  ;0
;"6;KS5H1;QH8D4;JHJD;;8C3H2CQD3D 0";Maria Ho;QH;8D;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;JH;JD;Ami Alibay ;0;0;James Carroll;KS;5H;8C;3H;2C;QD;3D;0
;"1;JD9H4;TH8C6;QH9C;;3D5DTC9SKS 0";Maria Ho;JD;9H;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;TH;8C;Ami Alibay ;0;0;James Carroll;QH;9C;3D;5D;TC;9S;KS;0
;"1;TD2H4;AC7H6;KD6D;;8C9HAH      0";Maria Ho;TD;2H;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;AC;7H;Ami Alibay ;0;0;James Carroll;KD;6D;8C;9H;AH;  ;  ;0
;"6;6H5S1;ACQC4;KD7D 0";Maria Ho;AC;QC;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;KD;7D;Ami Alibay ;0;0;James Carroll;6H;5S;0;0;0;0;0;0
;"1;AC5D4;KD9S6;KSQC;;ASJDQHKC4S 0";Maria Ho;AC;5D;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;KD;9S;Ami Alibay ;0;0;James Carroll;KS;QC;AS;JD;QH;KC;4S;0
;"4;5C3C6;9D8D;;QS7DQHAD     0";Maria Ho;0;0;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;5C;3C;Ami Alibay ;0;0;James Carroll;9D;8D;QS;7D;QH;AD;  ;0
;"6;KSQH4;AHKC;;TSTHQS5S7D 0";Maria Ho;0;0;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;AH;KC;Ami Alibay ;0;0;James Carroll;KS;QH;TS;TH;QS;5S;7D;0
;"6;ADAC4;KCTH;;4H9D7CTDAH 0";Maria Ho;0;0;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;KC;TH;Ami Alibay ;0;0;James Carroll;AD;AC;4H;9D;7C;TD;AH;0
;"4;KD9D6;AHTC;;6HQH9S4H8C 0";Maria Ho;0;0;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;KD;9D;Ami Alibay ;0;0;James Carroll;AH;TC;6H;QH;9S;4H;8C;0
;"6;KDTH4;QHJH;;8STS3HQS7C 0";Maria Ho;0;0;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;QH;JH;Ami Alibay ;0;0;James Carroll;KD;TH;8S;TS;3H;QS;7C;0
;"4;TD8C6;JH9H;;3S3HJDJS      1";Maria Ho;0;0;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;TD;8C;Ami Alibay ;0;0;James Carroll;JH;9H;3S;3H;JD;JS;  ;1
;"6;QD6D4;KD5H;;6CJC9DQHAH 1";Maria Ho;0;0;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;KD;5H;Ami Alibay ;0;0;James Carroll;QD;6D;6C;JC;9D;QH;AH;1
;"4;6H6D6;KS8H;;KDQCKC3HQS 1";Maria Ho;0;0;Chad Eveslage;0;0;Jerry Wong;0;0;Eric Afrait;6H;6D;Ami Alibay ;0;0;James Carroll;KS;8H;KD;QC;KC;3H;QS;1
1 Nick 2 Will 3 Stacey 4 Craig 5 Austin 6 Trung;"5;KD8C6;QC2C1;TS4H2;JC7C3;QS9D4;QD7H;;TCAS6C         0";Nick Pupillo;TS;4H;Will Berry ;JC;7C;Stacey Jones;QS;9D;Craig Varnell;QD;7H;Austin Lewis;KD;8C;Trung Pham ;QC;2C;TC;AS;6C;  ;  ;0
;"2;4S2D3;TC8D4;AH4D5;KDJC6;ADQC1;JD6S;;7SJS2S       0";Nick Pupillo;JD;6S;Will Berry ;4S;2D;Stacey Jones;TC;8D;Craig Varnell;AH;4D;Austin Lewis;KD;JC;Trung Pham ;AD;QC;7S;JS;2S;  ;  ;0
;"4;KS3S5;JS5D6;KC8C1;9C7D2;JC5C3;QHQC 0";Nick Pupillo;9C;7D;Will Berry ;JC;5C;Stacey Jones;QH;QC;Craig Varnell;KS;3S;Austin Lewis;JS;5D;Trung Pham ;KC;8C;0;0;0;0;0;0
;"1;9C4D2;6C2C3;AH8H4;JD6S5;KC7C6;ACTD;;7DJH3D      0";Nick Pupillo;9C;4D;Will Berry ;6C;2C;Stacey Jones;AH;8H;Craig Varnell;JD;6S;Austin Lewis;KC;7C;Trung Pham ;AC;TD;7D;JH;3D;  ;  ;0
;"2;7S7C3;QHJD4;5S3S5;AHKS6;9C8C1;JC6H;;QSKH4C      0";Nick Pupillo;JC;6H;Will Berry ;7S;7C;Stacey Jones;QH;JD;Craig Varnell;5S;3S;Austin Lewis;AH;KS;Trung Pham ;9C;8C;QS;KH;4C;  ;  ;0
;"5;QSTS6;JS7S1;QC7H2;ASKH3;9S6D4;JH4D 0";Nick Pupillo;QC;7H;Will Berry ;AS;KH;Stacey Jones;9S;6D;Craig Varnell;JH;4D;Austin Lewis;QS;TS;Trung Pham ;JS;7S;0;0;0;0;0;0
;"6;5S3C1;6H6C2;JD4C3;QD5D4;4S4D5;TD8S;;2CAH5CACKD 0";Nick Pupillo;6H;6C;Will Berry ;JD;4C;Stacey Jones;QD;5D;Craig Varnell;4S;4D;Austin Lewis;TD;8S;Trung Pham ;5S;3C;2C;AH;5C;AC;KD;0
;"4;7H4S5;8H2C6;8C4D1;KSQS2;ACJD3;AH7D;;5C3C2S4C7S 0";Nick Pupillo;KS;QS;Will Berry ;AC;JD;Stacey Jones;AH;7D;Craig Varnell;7H;4S;Austin Lewis;8H;2C;Trung Pham ;8C;4D;5C;3C;2S;4C;7S;0
;"5;5S3D6;KS8D1;AS3S2;TS6D3;TH7D4;3H2H;;AC5D9D2SAH 0";Nick Pupillo;AS;3S;Will Berry ;TS;6D;Stacey Jones;TH;7D;Craig Varnell;3H;2H;Austin Lewis;5S;3D;Trung Pham ;KS;8D;AC;5D;9D;2S;AH;0
;"2;KH2H3;AHTH4;AD4S5;6D4H6;KCJC1;5S3C;;2D4CKDAS3D 0";Nick Pupillo;5S;3C;Will Berry ;KH;2H;Stacey Jones;AH;TH;Craig Varnell;AD;4S;Austin Lewis;6D;4H;Trung Pham ;KC;JC;2D;4C;KD;AS;3D;0
;"6;6S6H1;TS2D2;AC5S3;8C3S4;QC7D5;JH3H;;3CJCTCQD4H 0";Nick Pupillo;TS;2D;Will Berry ;AC;5S;Stacey Jones;8C;3S;Craig Varnell;QC;7D;Austin Lewis;JH;3H;Trung Pham ;6S;6H;3C;JC;TC;QD;4H;0
;"1;QHQC2;9D6S3;4D2S4;6H5S5;ADTC6;KHQS;;4HTHJD9C7H 0";Nick Pupillo;QH;QC;Will Berry ;9D;6S;Stacey Jones;4D;2S;Craig Varnell;6H;5S;Austin Lewis;AD;TC;Trung Pham ;KH;QS;4H;TH;JD;9C;7H;0
;"2;JS7H3;KHQH4;6S3S5;JH8S6;8D2H1;5S4H 0";Nick Pupillo;5S;4H;Will Berry ;JS;7H;Stacey Jones;KH;QH;Craig Varnell;6S;3S;Austin Lewis;JH;8S;Trung Pham ;8D;2H;0;0;0;0;0;0
;"3;QS7H4;7S5C5;QC6C6;8H5H1;2S2C2;8C2D;;5DTSQDKCAS 0";Nick Pupillo;2S;2C;Will Berry ;8C;2D;Stacey Jones;QS;7H;Craig Varnell;7S;5C;Austin Lewis;QC;6C;Trung Pham ;8H;5H;5D;TS;QD;KC;AS;0
;"4;QS8H5;9H2C6;KHJC1;KC7S2;QC6C3;KD5S 0";Nick Pupillo;KC;7S;Will Berry ;QC;6C;Stacey Jones;KD;5S;Craig Varnell;QS;8H;Austin Lewis;9H;2C;Trung Pham ;KH;JC;0;0;0;0;0;0
;"6;KD7H1;JC5D2;QS5C3;QHJS4;TH7D5;8D2D;;KS8C6HTC9D 1";Nick Pupillo;JC;5D;Will Berry ;QS;5C;Stacey Jones;QH;JS;Craig Varnell;TH;7D;Austin Lewis;8D;2D;Trung Pham ;KD;7H;KS;8C;6H;TC;9D;1
;"1;4C2C2;7S4D3;ACKD4;TC5H5;JDJC6;5D3S;;ASQD6C7C6D 1";Nick Pupillo;4C;2C;Will Berry ;7S;4D;Stacey Jones;AC;KD;Craig Varnell;TC;5H;Austin Lewis;JD;JC;Trung Pham ;5D;3S;AS;QD;6C;7C;6D;1
;"4;TD4C6;5S5D1;8S8C2;JD9H3;AH7H;;QD5H2H      1";Nick Pupillo;8S;8C;Will Berry ;JD;9H;Stacey Jones;AH;7H;Craig Varnell;TD;4C;Austin Lewis;0;0;Trung Pham ;5S;5D;QD;5H;2H;  ;  ;1
;"2;TH9C3;QCTC4;4D4C6;JS9D1;7C3D;;3S7H5S        1";Nick Pupillo;7C;3D;Will Berry ;TH;9C;Stacey Jones;QC;TC;Craig Varnell;4D;4C;Austin Lewis;0;0;Trung Pham ;JS;9D;3S;7H;5S;  ;  ;1
;"4;7S6S6;7D2C1;KDQH2;ADJD3;AS4C;;5S3CKHKC    1";Nick Pupillo;KD;QH;Will Berry ;AD;JD;Stacey Jones;AS;4C;Craig Varnell;7S;6S;Austin Lewis;0;0;Trung Pham ;7D;2C;5S;3C;KH;KC;  ;1
;"6;JC7S1;TSTH2;6C3S3;7C6S4;KC6D;;6HKHTC3DQS 1";Nick Pupillo;TS;TH;Will Berry ;6C;3S;Stacey Jones;7C;6S;Craig Varnell;KC;6D;Austin Lewis;0;0;Trung Pham ;JC;7S;6H;KH;TC;3D;QS;1
;"1;QS6S2;KC4H3;9S7D4;JS9C6;AC8D;;5HJCQH7C2C 1";Nick Pupillo;QS;6S;Will Berry ;KC;4H;Stacey Jones;9S;7D;Craig Varnell;JS;9C;Austin Lewis;0;0;Trung Pham ;AC;8D;5H;JC;QH;7C;2C;1
;"2;9H4C3;QHTD4;9S5H6;KCTC1;JD9C;;JH4S5S      1";Nick Pupillo;JD;9C;Will Berry ;9H;4C;Stacey Jones;QH;TD;Craig Varnell;9S;5H;Austin Lewis;0;0;Trung Pham ;KC;TC;JH;4S;5S;  ;  ;1
;"3;KH9D4;KS6H6;7H2D1;6S3C2;9H7D 1";Nick Pupillo;6S;3C;Will Berry ;9H;7D;Stacey Jones;KH;9D;Craig Varnell;KS;6H;Austin Lewis;0;0;Trung Pham ;7H;2D;0;0;0;0;0;1
;"4;KC9C6;6C3S1;QH6D2;TC7H3;2H2C;;KSJS4DKH5D 1";Nick Pupillo;QH;6D;Will Berry ;TC;7H;Stacey Jones;2H;2C;Craig Varnell;KC;9C;Austin Lewis;0;0;Trung Pham ;6C;3S;KS;JS;4D;KH;5D;1
;"6;QSQH1;AHTH2;KS2H3;QC3D4;ADKC;;JH4S3SASJD 1";Nick Pupillo;AH;TH;Will Berry ;KS;2H;Stacey Jones;QC;3D;Craig Varnell;AD;KC;Austin Lewis;0;0;Trung Pham ;QS;QH;JH;4S;3S;AS;JD;1
;"2;KDTC3;JC7C4;JH8H6;8D8C1;AD3D;;7HTH4H4S7S 1";Nick Pupillo;AD;3D;Will Berry ;KD;TC;Stacey Jones;JC;7C;Craig Varnell;JH;8H;Austin Lewis;0;0;Trung Pham ;8D;8C;7H;TH;4H;4S;7S;1
;"6;8D3C1;6H2H2;9C2S3;QC5S4;ACQH 1";Nick Pupillo;6H;2H;Will Berry ;9C;2S;Stacey Jones;QC;5S;Craig Varnell;AC;QH;Austin Lewis;0;0;Trung Pham ;8D;3C;0;0;0;0;0;1
;"1;7H3C2;4H4C3;QC9D4;QH8C6;TSTC 1";Nick Pupillo;7H;3C;Will Berry ;4H;4C;Stacey Jones;QC;9D;Craig Varnell;QH;8C;Austin Lewis;0;0;Trung Pham ;TS;TC;0;0;0;0;0;1
;"2;8S2C3;QSQC4;9S4D6;9H3S1;AH8H;;KH7H6H9DQH 1";Nick Pupillo;AH;8H;Will Berry ;8S;2C;Stacey Jones;QS;QC;Craig Varnell;9S;4D;Austin Lewis;0;0;Trung Pham ;9H;3S;KH;7H;6H;9D;QH;1
;"4;KD3D6;6H4D1;5H5D2;9D7H3;QC6C;;9S3C7C6D5S 0";Nick Pupillo;5H;5D;Will Berry ;9D;7H;Stacey Jones;QC;6C;Craig Varnell;KD;3D;Austin Lewis;0;0;Trung Pham ;6H;4D;9S;3C;7C;6D;5S;0
;"6;QC8H1;9D4H2;9H8S3;5H5C4;9S6S;;3DAHJD      0";Nick Pupillo;9D;4H;Will Berry ;9H;8S;Stacey Jones;5H;5C;Craig Varnell;9S;6S;Austin Lewis;0;0;Trung Pham ;QC;8H;3D;AH;JD;  ;  ;0
;"2;AS5H3;6D2H4;7H7D6;QD6C1;JC3D;;5D9CJH4DQS 0";Nick Pupillo;JC;3D;Will Berry ;AS;5H;Stacey Jones;6D;2H;Craig Varnell;7H;7D;Austin Lewis;0;0;Trung Pham ;QD;6C;5D;9C;JH;4D;QS;0
;"6;3H3C1;KD8C2;9C4C3;7C2D4;AHQH 0";Nick Pupillo;KD;8C;Will Berry ;9C;4C;Stacey Jones;7C;2D;Craig Varnell;AH;QH;Austin Lewis;0;0;Trung Pham ;3H;3C;0;0;0;0;0;0
;"2;TS5S3;KHKD4;KSQH6;ADAC1;3D2D;;JD8H5D8D9S 0";Nick Pupillo;3D;2D;Will Berry ;TS;5S;Stacey Jones;KH;KD;Craig Varnell;KS;QH;Austin Lewis;0;0;Trung Pham ;AD;AC;JD;8H;5D;8D;9S;0
;"6;8C7C1;TS9C2;ACKD4;QD6H 0";Nick Pupillo;TS;9C;Will Berry ;AC;KD;Stacey Jones;0;0;Craig Varnell;QD;6H;Austin Lewis;0;0;Trung Pham ;8C;7C;0;0;0;0;0;0
;"1;7S4H2;JH5C4;KS4C6;KCTC;;AD4S3C6C2C 0";Nick Pupillo;7S;4H;Will Berry ;JH;5C;Stacey Jones;0;0;Craig Varnell;KS;4C;Austin Lewis;0;0;Trung Pham ;KC;TC;AD;4S;3C;6C;2C;0
;"4;THTC6;5S4S1;9D3D2;KDQH;;8STD5HKH5C 0";Nick Pupillo;9D;3D;Will Berry ;KD;QH;Stacey Jones;0;0;Craig Varnell;TH;TC;Austin Lewis;0;0;Trung Pham ;5S;4S;8S;TD;5H;KH;5C;0
;"6;KCTS1;JC4C2;7S7C4;4H3C;;3SKHQC7D    0";Nick Pupillo;JC;4C;Will Berry ;7S;7C;Stacey Jones;0;0;Craig Varnell;4H;3C;Austin Lewis;0;0;Trung Pham ;KC;TS;3S;KH;QC;7D;  ;0
;"1;5H5D2;KSQD4;JC6H6;8D4D 1";Nick Pupillo;5H;5D;Will Berry ;KS;QD;Stacey Jones;0;0;Craig Varnell;JC;6H;Austin Lewis;0;0;Trung Pham ;8D;4D;0;0;0;0;0;1
;"2;AHAD4;JSTS6;JC2H1;9S7C;;9CQD2CKCAC 1";Nick Pupillo;9S;7C;Will Berry ;AH;AD;Stacey Jones;0;0;Craig Varnell;JS;TS;Austin Lewis;0;0;Trung Pham ;JC;2H;9C;QD;2C;KC;AC;1
;"1;TC6S2;KSQD4;8H4H6;6D2D;;7D6H8S     1";Nick Pupillo;TC;6S;Will Berry ;KS;QD;Stacey Jones;0;0;Craig Varnell;8H;4H;Austin Lewis;0;0;Trung Pham ;6D;2D;7D;6H;8S;  ;  ;1
;"6;8S3C1;9H3H2;3S3D4;QHTS;;AC2HTHTCAD 1";Nick Pupillo;9H;3H;Will Berry ;3S;3D;Stacey Jones;0;0;Craig Varnell;QH;TS;Austin Lewis;0;0;Trung Pham ;8S;3C;AC;2H;TH;TC;AD;1
;"2;JH5C4;TS9S6;KHKC1;6C3D;;5H7D6D9C7S 1";Nick Pupillo;6C;3D;Will Berry ;JH;5C;Stacey Jones;0;0;Craig Varnell;TS;9S;Austin Lewis;0;0;Trung Pham ;KH;KC;5H;7D;6D;9C;7S;1
;"4;3H2D6;7H4D1;KD9D2;8H3D 1";Nick Pupillo;KD;9D;Will Berry ;8H;3D;Stacey Jones;0;0;Craig Varnell;3H;2D;Austin Lewis;0;0;Trung Pham ;7H;4D;0;0;0;0;0;1
;"1;5H4D2;QH2S4;JC7C6;AS9S;;9H8H7HKS8S 1";Nick Pupillo;5H;4D;Will Berry ;QH;2S;Stacey Jones;0;0;Craig Varnell;JC;7C;Austin Lewis;0;0;Trung Pham ;AS;9S;9H;8H;7H;KS;8S;1
;"1;9S5D2;QSTD4;KCQH6;TH7S 1";Nick Pupillo;9S;5D;Will Berry ;QS;TD;Stacey Jones;0;0;Craig Varnell;KC;QH;Austin Lewis;0;0;Trung Pham ;TH;7S;0;0;0;0;0;1
;"2;QS6H4;ACJS6;KC8H1;9D7C;;2HKHAD    1";Nick Pupillo;9D;7C;Will Berry ;QS;6H;Stacey Jones;0;0;Craig Varnell;AC;JS;Austin Lewis;0;0;Trung Pham ;KC;8H;2H;KH;AD;  ;  ;1
;"4;TSTC6;ASQH1;AC4C2;9H3H;;7D5HJCJS4D 1";Nick Pupillo;AC;4C;Will Berry ;9H;3H;Stacey Jones;0;0;Craig Varnell;TS;TC;Austin Lewis;0;0;Trung Pham ;AS;QH;7D;5H;JC;JS;4D;1
;"4;JH5C6;8S6H1;ADTC2;KDQS;;JC9SQD7S    1";Nick Pupillo;AD;TC;Will Berry ;KD;QS;Stacey Jones;0;0;Craig Varnell;JH;5C;Austin Lewis;0;0;Trung Pham ;8S;6H;JC;9S;QD;7S;  ;1
;"6;9H2C1;ADKH2;TD8C4;KC3C;;7DAS7S5SAC 1";Nick Pupillo;AD;KH;Will Berry ;TD;8C;Stacey Jones;0;0;Craig Varnell;KC;3C;Austin Lewis;0;0;Trung Pham ;9H;2C;7D;AS;7S;5S;AC;1
;"1;7H6H2;QC7C4;QHTS6;6C2D 1";Nick Pupillo;7H;6H;Will Berry ;QC;7C;Stacey Jones;0;0;Craig Varnell;QH;TS;Austin Lewis;0;0;Trung Pham ;6C;2D;0;0;0;0;0;1
;"4;ASTC6;QH2C1;KCJS2;ACTH 1";Nick Pupillo;KC;JS;Will Berry ;AC;TH;Stacey Jones;0;0;Craig Varnell;AS;TC;Austin Lewis;0;0;Trung Pham ;QH;2C;0;0;0;0;0;1
;"1;AC4D2;9C2C4;QHQD6;JD8D;;JH2DKSKH     1";Nick Pupillo;AC;4D;Will Berry ;9C;2C;Stacey Jones;0;0;Craig Varnell;QH;QD;Austin Lewis;0;0;Trung Pham ;JD;8D;JH;2D;KS;KH;  ;1
;"1;6H4C2;QC8C4;AC5D6;3H2H;;9H8H4D6C    1";Nick Pupillo;6H;4C;Will Berry ;QC;8C;Stacey Jones;0;0;Craig Varnell;AC;5D;Austin Lewis;0;0;Trung Pham ;3H;2H;9H;8H;4D;6C;  ;1
;"6;ASJH1;KC8S2;KDQC4;3C2C 1";Nick Pupillo;KC;8S;Will Berry ;KD;QC;Stacey Jones;0;0;Craig Varnell;3C;2C;Austin Lewis;0;0;Trung Pham ;AS;JH;0;0;0;0;0;1
;"6;ACQD1;5S3C2;KHKC4;8C5H;;7D9D2CTC4S 1";Nick Pupillo;5S;3C;Will Berry ;KH;KC;Stacey Jones;0;0;Craig Varnell;8C;5H;Austin Lewis;0;0;Trung Pham ;AC;QD;7D;9D;2C;TC;4S;1
;"1;QD9C2;5H3C4;JHTH;;KS8HTS9SAS 1";Nick Pupillo;QD;9C;Will Berry ;5H;3C;Stacey Jones;0;0;Craig Varnell;JH;TH;Austin Lewis;0;0;Trung Pham ;0;0;KS;8H;TS;9S;AS;1
;"4;ACJC1;7C3C2;6D6C;;6H3DTH4S    1";Nick Pupillo;7C;3C;Will Berry ;6D;6C;Stacey Jones;0;0;Craig Varnell;AC;JC;Austin Lewis;0;0;Trung Pham ;0;0;6H;3D;TH;4S;  ;1
;"2;QC8H4;TS8D1;AC2C;;AH6SQD3H2H 0";Nick Pupillo;AC;2C;Will Berry ;QC;8H;Stacey Jones;0;0;Craig Varnell;TS;8D;Austin Lewis;0;0;Trung Pham ;0;0;AH;6S;QD;3H;2H;0
;"1;8H3D2;KCQD4;QSQH;;TD9S7C7SAH 0";Nick Pupillo;8H;3D;Will Berry ;KC;QD;Stacey Jones;0;0;Craig Varnell;QS;QH;Austin Lewis;0;0;Trung Pham ;0;0;TD;9S;7C;7S;AH;0
;"2;9C8S4;4S4H1;JD8H;;6H8D8CKDAD 0";Nick Pupillo;JD;8H;Will Berry ;9C;8S;Stacey Jones;0;0;Craig Varnell;4S;4H;Austin Lewis;0;0;Trung Pham ;0;0;6H;8D;8C;KD;AD;0
;"1;AC4S2;JC4C4;KS7C;;7D7S4DTD3C 0";Nick Pupillo;AC;4S;Will Berry ;JC;4C;Stacey Jones;0;0;Craig Varnell;KS;7C;Austin Lewis;0;0;Trung Pham ;0;0;7D;7S;4D;TD;3C;0
;"4;QSQH2;9D3D;;5D2S7DTCAD 0";Nick Pupillo;0;0;Will Berry ;9D;3D;Stacey Jones;0;0;Craig Varnell;QS;QH;Austin Lewis;0;0;Trung Pham ;0;0;5D;2S;7D;TC;AD;0
;"2;5D4S4;8C6C;;3CAH6DTS    0";Nick Pupillo;0;0;Will Berry ;5D;4S;Stacey Jones;0;0;Craig Varnell;8C;6C;Austin Lewis;0;0;Trung Pham ;0;0;3C;AH;6D;TS;  ;0
;"2;AS6H4;8C6C;;8SQH3C        0";Nick Pupillo;0;0;Will Berry ;AS;6H;Stacey Jones;0;0;Craig Varnell;8C;6C;Austin Lewis;0;0;Trung Pham ;0;0;8S;QH;3C;  ;  ;0
;"4;8H6H2;TD5D;;JH4C8S      0";Nick Pupillo;0;0;Will Berry ;TD;5D;Stacey Jones;0;0;Craig Varnell;8H;6H;Austin Lewis;0;0;Trung Pham ;0;0;JH;4C;8S;  ;  ;0
;"2;8S8C4;ADTD;;5CTHKCQSKS 0";Nick Pupillo;0;0;Will Berry ;8S;8C;Stacey Jones;0;0;Craig Varnell;AD;TD;Austin Lewis;0;0;Trung Pham ;0;0;5C;TH;KC;QS;KS;0
1 Simon 2 Nick 3 Ole 4 Griffin 5 Ryan 6 Tony;"3;9C3H4;ADTD5;8H2S6;KC3D1;AHQC2;JS9S 1";Simon Lam;AH;QC;Nick Schulman;JS;9S;Ole Schemion;9C;3H;Griffin Paul ;AD;TD;Ryan Tosoc;8H;2S;Tony Dunst;KC;3D;0;0;0;0;0;1
;"4;JHTC5;QS8C6;8S5S1;9D4S2;7S6D3;9H4H;;3SQH7H3D2H 1";Simon Lam;9D;4S;Nick Schulman;7S;6D;Ole Schemion;9H;4H;Griffin Paul ;JH;TC;Ryan Tosoc;QS;8C;Tony Dunst;8S;5S;3S;QH;7H;3D;2H;1
;"3;TC2H4;6S3H5;9S6H6;JC6C1;9H2D2;QCJS 1";Simon Lam;9H;2D;Nick Schulman;QC;JS;Ole Schemion;TC;2H;Griffin Paul ;6S;3H;Ryan Tosoc;9S;6H;Tony Dunst;JC;6C;0;0;0;0;0;1
;"6;JD2D1;KD8S2;AD7D3;ACKC4;8C4S5;6C3D;;9HKHJC     1";Simon Lam;KD;8S;Nick Schulman;AD;7D;Ole Schemion;AC;KC;Griffin Paul ;8C;4S;Ryan Tosoc;6C;3D;Tony Dunst;JD;2D;9H;KH;JC;  ;  ;1
;"1;3C2D2;JH3S3;TS7S4;TH2C5;8S6D6;JSJC;;7D5S5CTD5H 1";Simon Lam;3C;2D;Nick Schulman;JH;3S;Ole Schemion;TS;7S;Griffin Paul ;TH;2C;Ryan Tosoc;8S;6D;Tony Dunst;JS;JC;7D;5S;5C;TD;5H;1
;"2;KD8C3;4H3H4;8H5D5;QS8S6;7D7C1;6D5S;;JD2S4S9DTH 1";Simon Lam;6D;5S;Nick Schulman;KD;8C;Ole Schemion;4H;3H;Griffin Paul ;8H;5D;Ryan Tosoc;QS;8S;Tony Dunst;7D;7C;JD;2S;4S;9D;TH;1
;"3;8S4S4;JC2C5;7H4C6;QHJS1;AH4D2;6H5C;;8C6D3D       1";Simon Lam;AH;4D;Nick Schulman;6H;5C;Ole Schemion;8S;4S;Griffin Paul ;JC;2C;Ryan Tosoc;7H;4C;Tony Dunst;QH;JS;8C;6D;3D;  ;  ;1
;"4;KHJH5;AC4S6;6C3C1;9C3D2;9H6D3;4C3H;;KCJS8D       1";Simon Lam;9C;3D;Nick Schulman;9H;6D;Ole Schemion;4C;3H;Griffin Paul ;KH;JH;Ryan Tosoc;AC;4S;Tony Dunst;6C;3C;KC;JS;8D;  ;  ;1
;"5;TD7D6;JC8H1;AHQC2;AC2S3;JH9S4;5C2C 1";Simon Lam;AH;QC;Nick Schulman;AC;2S;Ole Schemion;JH;9S;Griffin Paul ;5C;2C;Ryan Tosoc;TD;7D;Tony Dunst;JC;8H;0;0;0;0;0;1
;"6;JH9C1;5S5D2;ACJS3;KD5H4;8D6D5;KCQH;;QC7D2C2DTD 1";Simon Lam;5S;5D;Nick Schulman;AC;JS;Ole Schemion;KD;5H;Griffin Paul ;8D;6D;Ryan Tosoc;KC;QH;Tony Dunst;JH;9C;QC;7D;2C;2D;TD;1
;"4;AH6S5;KD4D6;8S2H1;JC5D3;ACQS;;4CJD2SKSQD 1";Simon Lam;JC;5D;Nick Schulman;0;0;Ole Schemion;AC;QS;Griffin Paul ;AH;6S;Ryan Tosoc;KD;4D;Tony Dunst;8S;2H;4C;JD;2S;KS;QD;1
;"4;9D2C5;3S3D6;AD9S1;9C4S3;KDTC;;5C3C4D4C9H 1";Simon Lam;9C;4S;Nick Schulman;0;0;Ole Schemion;KD;TC;Griffin Paul ;9D;2C;Ryan Tosoc;3S;3D;Tony Dunst;AD;9S;5C;3C;4D;4C;9H;1
;"5;TC9C6;5D4S1;AHJH3;QS6H4;ACTD 0";Simon Lam;AH;JH;Nick Schulman;0;0;Ole Schemion;QS;6H;Griffin Paul ;AC;TD;Ryan Tosoc;TC;9C;Tony Dunst;5D;4S;0;0;0;0;0;0
;"6;2H2C1;TC9D3;QC9C4;TS3H5;QDJS;;JD6DTDJC7D 0";Simon Lam;TC;9D;Nick Schulman;0;0;Ole Schemion;QC;9C;Griffin Paul ;TS;3H;Ryan Tosoc;QD;JS;Tony Dunst;2H;2C;JD;6D;TD;JC;7D;0
